epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.44764,0.88497,1.94996,1.4271,0.81305,0.60976,0.61886,0.33992,1.49001,2.62562,2.92861,0.000653061,0.000653061,0.000653061
2,16.1853,1.00831,1.62252,1.48862,0.68344,0.73171,0.70861,0.39525,1.19834,2.25281,1.9852,0.0012936,0.0012936,0.0012936
3,22.5132,1.06468,1.51413,1.5334,0.75604,0.92683,0.85645,0.51069,1.1604,1.69994,1.92464,0.00190773,0.00190773,0.00190773
4,28.6948,1.08265,1.45356,1.54456,0.51548,0.58537,0.47429,0.24787,1.61117,2.48104,2.28675,0.0018812,0.0018812,0.0018812
5,34.8957,0.97004,1.2234,1.42095,0.75042,0.78049,0.79107,0.46834,1.06989,1.32176,2.02276,0.0018416,0.0018416,0.0018416
6,41.0961,0.96405,1.18181,1.42869,0.8428,0.80488,0.80126,0.56075,1.01705,1.21805,1.72713,0.001802,0.001802,0.001802
7,47.3625,0.95625,1.13001,1.38597,0.77535,0.63415,0.74187,0.4471,1.31368,1.43905,1.92328,0.0017624,0.0017624,0.0017624
8,53.5482,0.95528,1.07535,1.39469,0.66157,0.7153,0.78046,0.55782,1.14997,1.13745,2.0219,0.0017228,0.0017228,0.0017228
9,59.7289,0.95572,1.02179,1.43022,0.82514,0.92083,0.91175,0.66845,0.86495,0.95616,1.48361,0.0016832,0.0016832,0.0016832
10,65.9161,0.90416,0.97718,1.37641,0.9021,0.92683,0.94176,0.68001,0.77552,0.92517,1.42033,0.0016436,0.0016436,0.0016436
11,72.3394,0.88849,0.97449,1.38133,0.82977,0.97561,0.87553,0.62589,0.90245,1.08913,1.59544,0.001604,0.001604,0.001604
12,78.5978,0.89715,0.94922,1.3555,0.77048,0.92683,0.89075,0.67395,0.94012,0.87007,1.61106,0.0015644,0.0015644,0.0015644
13,84.8234,0.84627,0.86109,1.34734,0.86185,0.97561,0.95286,0.71013,0.83867,0.76263,1.49742,0.0015248,0.0015248,0.0015248
14,91.0365,0.86689,0.87468,1.34789,0.84726,0.95122,0.93834,0.73799,0.72934,0.7361,1.4348,0.0014852,0.0014852,0.0014852
15,97.1567,0.82436,0.81403,1.30241,0.83768,0.92683,0.91972,0.72166,0.77503,0.68702,1.39039,0.0014456,0.0014456,0.0014456
16,103.32,0.82736,0.81392,1.31101,0.84954,1,0.90094,0.68397,0.78197,0.69885,1.36004,0.001406,0.001406,0.001406
17,109.623,0.81846,0.83291,1.29642,0.82513,0.95122,0.91022,0.69254,0.79166,0.7102,1.44676,0.0013664,0.0013664,0.0013664
18,116.005,0.82432,0.78903,1.31685,0.76494,0.90244,0.9119,0.57142,1.06369,0.93524,1.68818,0.0013268,0.0013268,0.0013268
19,124.587,0.80458,0.79777,1.30952,0.79903,0.96981,0.94619,0.71562,0.75871,0.7385,1.32153,0.0012872,0.0012872,0.0012872
20,131.041,0.77585,0.76419,1.28064,0.74686,0.7917,0.85262,0.51502,1.17318,1.27209,1.74164,0.0012476,0.0012476,0.0012476
21,137.292,0.76148,0.74384,1.26032,0.83612,0.85366,0.82471,0.61517,0.74369,0.8515,1.36918,0.001208,0.001208,0.001208
22,143.426,0.77585,0.70874,1.26455,0.81065,0.82927,0.80518,0.60293,0.85963,0.89236,1.49345,0.0011684,0.0011684,0.0011684
23,149.649,0.77381,0.69871,1.27009,0.78638,0.98778,0.88976,0.69901,0.76608,0.72227,1.36693,0.0011288,0.0011288,0.0011288
24,155.723,0.76923,0.72287,1.25543,0.84702,0.97561,0.90821,0.75033,0.70287,0.65767,1.29375,0.0010892,0.0010892,0.0010892
25,161.825,0.71966,0.66026,1.22855,0.86841,1,0.87755,0.68053,0.69934,0.64946,1.28875,0.0010496,0.0010496,0.0010496
26,168.062,0.70927,0.63697,1.23661,0.81909,0.95122,0.89845,0.70881,0.67765,0.69917,1.24046,0.00101,0.00101,0.00101
27,174.261,0.68675,0.6518,1.23216,0.82143,0.89765,0.83575,0.64466,0.75607,0.79417,1.31511,0.0009704,0.0009704,0.0009704
28,180.423,0.71432,0.64176,1.21914,0.86348,0.95122,0.87988,0.72407,0.58082,0.67451,1.15946,0.0009308,0.0009308,0.0009308
29,186.602,0.70313,0.62628,1.21847,0.77055,0.97561,0.90738,0.73664,0.6886,0.71282,1.31161,0.0008912,0.0008912,0.0008912
30,192.767,0.7104,0.60778,1.20597,0.82197,0.90244,0.90849,0.68661,0.68172,0.86546,1.25073,0.0008516,0.0008516,0.0008516
31,198.935,0.64803,0.64079,1.20692,0.84774,0.97561,0.89478,0.72766,0.56463,0.56948,1.16105,0.000812,0.000812,0.000812
32,205.123,0.67834,0.61097,1.20246,0.86682,0.87805,0.91768,0.74808,0.67828,0.66842,1.22842,0.0007724,0.0007724,0.0007724
33,211.332,0.65382,0.59878,1.19529,0.84528,0.93287,0.90017,0.70166,0.69464,0.7767,1.2649,0.0007328,0.0007328,0.0007328
34,217.475,0.66692,0.57891,1.178,0.86842,0.96595,0.89598,0.69192,0.668,0.60314,1.24713,0.0006932,0.0006932,0.0006932
35,223.746,0.61523,0.56428,1.15064,0.83278,0.97178,0.90768,0.76699,0.57659,0.70802,1.13128,0.0006536,0.0006536,0.0006536
36,229.892,0.62805,0.55271,1.17826,0.86145,0.91003,0.91699,0.78902,0.60919,0.61142,1.19512,0.000614,0.000614,0.000614
37,236.153,0.63629,0.55212,1.16694,0.82774,0.95122,0.90713,0.7424,0.59185,0.61754,1.18804,0.0005744,0.0005744,0.0005744
38,242.327,0.64774,0.55585,1.19645,0.84462,0.95122,0.86632,0.70966,0.63352,0.65713,1.2189,0.0005348,0.0005348,0.0005348
39,248.455,0.58048,0.53486,1.13256,0.81618,0.97561,0.90588,0.75797,0.64189,0.63385,1.23086,0.0004952,0.0004952,0.0004952
40,254.591,0.5848,0.51778,1.13495,0.81628,1,0.88019,0.72944,0.63781,0.66447,1.21786,0.0004556,0.0004556,0.0004556
41,283.187,0.44008,0.4419,1.09297,0.8172,1,0.89405,0.75551,0.54834,0.6514,1.15943,0.000416,0.000416,0.000416
42,289.358,0.43524,0.43997,1.08545,0.84497,0.97561,0.90001,0.74329,0.60052,0.68732,1.19036,0.0003764,0.0003764,0.0003764
43,295.332,0.42241,0.3937,1.09006,0.86927,1,0.89756,0.74286,0.58585,0.58733,1.16276,0.0003368,0.0003368,0.0003368
44,301.314,0.39388,0.39225,1.05618,0.84593,0.93756,0.88591,0.73046,0.55603,0.80156,1.08144,0.0002972,0.0002972,0.0002972
45,307.446,0.37471,0.33971,1.03857,0.85418,0.92683,0.87904,0.74538,0.56936,0.77214,1.10418,0.0002576,0.0002576,0.0002576
46,313.877,0.36984,0.33562,1.02768,0.84202,0.92683,0.88393,0.75519,0.55166,0.72496,1.1049,0.000218,0.000218,0.000218
47,320.019,0.36252,0.32662,1.02776,0.83337,0.92683,0.89018,0.7599,0.5998,0.89173,1.133,0.0001784,0.0001784,0.0001784
48,326.067,0.35345,0.32817,1.01569,0.83094,0.95918,0.89916,0.78157,0.55227,0.80988,1.10872,0.0001388,0.0001388,0.0001388
49,332.108,0.35224,0.30671,1.01133,0.8282,0.94074,0.90458,0.77853,0.55247,0.82384,1.09529,9.92e-05,9.92e-05,9.92e-05
50,338.123,0.34408,0.29576,0.99332,0.84274,0.92683,0.904,0.76449,0.55728,0.78654,1.09863,5.96e-05,5.96e-05,5.96e-05
